referral_id|taxonomy_to_find|to_feed_to_algo|recommended_cluster_labels|correct_labels|cluster_order|recommendation_time
62536610|RX-8470.1900-610|['RX-8470.1900-840', 'PH-8000 * YZ-6910']|[(67,), (43,), (153,), (None,), (182,)]|True|1|0:00:00.218614
64784143|BT-4500.4900|['BT-4500.4700']|[(174,), (173,), (143,), (None,), (8,)]|True|1|0:00:00.065345
62615395|BT-4500.6500-500|['BT-4500.6500-170']|[(137,), (None,), (173,), (195,), (62,)]|True|4|0:00:00.077904
79826589|RP-1400.2500 * YE-3500|['RR-5150.2500', 'RP-1400.2500 * YH-1400.3500', 'RP-1400.2500 * YH-1800.0300', 'PH-6200.8400']|[(31,), (153,), (115,), (67,), (None,)]|True|0|0:00:00.097701
61792979|TB-0900.1000|['TB-0900.1000', 'DF-8000.4500', 'TD-0300.1200 * YZ-1950', 'TD-0300.1200 * YZ-1950', 'TD-0300.1200 * YZ-1950', 'ND-2000.3490 * YL-3500.4000', 'ND-2000.3490 * YL-3500.4000']|[(142,), (80,), (174,), (136,), (None,)]|True|3|0:00:00.085963
69481137|LM|['DF-4500.6300 * YO-4500']|[(101,), (None,), (182,), (67,), (71,)]|False|-1|0:00:00.049457
76385331|RP-1400.8000-675|['PN-8100.5000']|[(115,), (49,), (None,), (62,), (137,)]|True|0|0:00:00.078396
75120000|TJ-3200.2500-850|['JP-6800']|[(137,), (None,), (195,), (37,), (175,)]|False|-1|0:00:00.069887
67222959|PH-7000|['PH-3300.6500', 'PH-0500', 'LT-2800', 'PH-1400.1900', 'PH-7000 * YF-3000.2380', 'PH-7000', 'BD-5000.3500']|[(137,), (195,), (49,), (None,), (62,)]|False|-1|0:00:00.099785
80742979|BH-7000.5100-450|['BH-3900.3100', 'BH-7000.4600', 'BH-3800.7000']|[(67,), (153,), (40,), (5,), (None,)]|True|0|0:00:00.307555
66299010|LT-2800|['TJ-3200.5000', 'LH-2600.6500', 'LH-2600.6500']|[(49,), (40,), (126,), (137,), (None,)]|True|3|0:00:00.092720
59749008|DM-1800|['DM-1800', 'BV-8900', 'BV-8900', 'BV-8900', 'DM-6500', 'DM-6500', 'DM-1500.1500', 'NL-1000.6350-650']|[(67,), (153,), (None,), (144,), (182,)]|True|3|0:00:00.287848
60748061|LT-3000.3300|['TD-6600.6500-450', 'LT-2800', 'PH-1000 * YB-8000', 'PH-1000 * YJ-8750', 'BD-5000.3500', 'BD-5000.3500', 'PH-3300.3000', 'PH-3300.3000', 'PH-3300.3000', 'PH-3300.3000']|[(137,), (195,), (6,), (None,), (62,)]|True|1|0:00:00.100589
75522200|BD-2400.2590 * YF-3000.2193|['BD-2400.2590 * YF-3000.2193', 'BD-1800.2000 * YF-3000.2193', 'BD-1800.2000']|[(10,), (37,), (None,), (67,), (137,)]|False|-1|0:00:00.212546
81935529|RP-6400.8000-600|['RM-6500.1500', 'TJ-3000.8000']|[(137,), (31,), (115,), (None,), (4,)]|True|2|0:00:00.103478
78720716|TH-2600.1880|['BH-1800.3500']|[(37,), (10,), (93,), (None,), (130,)]|True|4|0:00:00.098425
62752251|BT-4500.6500-800|['BT-4500.6500-170']|[(137,), (None,), (173,), (195,), (62,)]|True|0|0:00:00.077616
